日期 ,北京时间 , 北纬 ,东经  ,海拔
2017年10月05日,9小时32分38秒, 40.47.533, 111.41.856, 1108m
2017年10月05日,9小时32分39秒, 40.47.532, 111.41.852, 1106m
2017年10月05日,9小时32分39秒, 40.47.532, 111.41.852, 1106m
2017年10月05日,9小时32分41秒, 40.47.557, 111.41.837, 1181m
2017年10月05日,9小时32分42秒, 40.47.563, 111.41.830, 1199m
2017年10月05日,9小时32分43秒, 40.47.561, 111.41.826, 1195m
2017年10月05日,9小时32分44秒, 40.47.560, 111.41.821, 1194m
2017年10月05日,9小时32分45秒, 40.47.559, 111.41.815, 1192m
2017年10月05日,9小时32分46秒, 40.47.560, 111.41.810, 1194m
2017年10月05日,9小时32分47秒, 40.47.558, 111.41.806, 1195m
2017年10月05日,9小时32分48秒, 40.47.558, 111.41.800, 1196m
2017年10月05日,9小时32分49秒, 40.47.555, 111.41.796, 1184m
2017年10月05日,9小时32分50秒, 40.47.551, 111.41.791, 1174m
2017年10月05日,9小时32分51秒, 40.47.549, 111.41.787, 1167m
2017年10月05日,9小时32分52秒, 40.47.547, 111.41.783, 1162m
2017年10月05日,9小时32分53秒, 40.47.548, 111.41.779, 1159m
2017年10月05日,9小时32分54秒, 40.47.547, 111.41.776, 1151m
2017年10月05日,9小时32分55秒, 40.47.547, 111.41.771, 1147m
2017年10月05日,9小时32分56秒, 40.47.549, 111.41.769, 1147m
2017年10月05日,9小时32分57秒, 40.47.552, 111.41.767, 1147m
2017年10月05日,9小时32分58秒, 40.47.556, 111.41.766, 1146m
2017年10月05日,9小时32分59秒, 40.47.560, 111.41.764, 1145m
2017年10月05日,9小时33分0秒, 40.47.565, 111.41.762, 1144m
2017年10月05日,9小时33分1秒, 40.47.571, 111.41.759, 1144m
2017年10月05日,9小时33分2秒, 40.47.577, 111.41.757, 1143m
2017年10月05日,9小时33分3秒, 40.47.583, 111.41.754, 1142m
2017年10月05日,9小时33分4秒, 40.47.589, 111.41.751, 1142m
2017年10月05日,9小时33分5秒, 40.47.595, 111.41.748, 1142m
2017年10月05日,9小时33分6秒, 40.47.601, 111.41.746, 1142m
2017年10月05日,9小时33分7秒, 40.47.607, 111.41.743, 1142m
2017年10月05日,9小时33分8秒, 40.47.613, 111.41.741, 1141m
2017年10月05日,9小时33分9秒, 40.47.618, 111.41.738, 1142m
2017年10月05日,9小时33分10秒, 40.47.623, 111.41.737, 1141m
2017年10月05日,9小时33分11秒, 40.47.627, 111.41.735, 1140m
2017年10月05日,9小时33分12秒, 40.47.631, 111.41.734, 1140m
2017年10月05日,9小时33分13秒, 40.47.634, 111.41.733, 1139m
2017年10月05日,9小时33分14秒, 40.47.637, 111.41.732, 1139m
2017年10月05日,9小时33分15秒, 40.47.639, 111.41.731, 1139m
2017年10月05日,9小时33分16秒, 40.47.641, 111.41.730, 1140m
2017年10月05日,9小时33分17秒, 40.47.643, 111.41.730, 1139m
2017年10月05日,9小时33分18秒, 40.47.645, 111.41.729, 1139m
2017年10月05日,9小时33分19秒, 40.47.646, 111.41.728, 1138m
2017年10月05日,9小时33分20秒, 40.47.647, 111.41.728, 1137m
2017年10月05日,9小时33分21秒, 40.47.648, 111.41.727, 1137m
2017年10月05日,9小时33分22秒, 40.47.648, 111.41.727, 1136m
2017年10月05日,9小时33分23秒, 40.47.648, 111.41.727, 1135m
2017年10月05日,9小时33分24秒, 40.47.648, 111.41.727, 1135m
2017年10月05日,9小时33分25秒, 40.47.617, 111.41.721, 1132m
2017年10月05日,9小时33分26秒, 40.47.617, 111.41.720, 1128m
2017年10月05日,9小时33分27秒, 40.47.617, 111.41.721, 1122m
2017年10月05日,9小时33分28秒, 40.47.618, 111.41.722, 1119m
2017年10月05日,9小时33分29秒, 40.47.618, 111.41.722, 1115m
2017年10月05日,9小时33分30秒, 40.47.618, 111.41.723, 1113m
2017年10月05日,9小时33分31秒, 40.47.617, 111.41.726, 1101m
2017年10月05日,9小时33分32秒, 40.47.616, 111.41.728, 1092m
2017年10月05日,9小时33分33秒, 40.47.617, 111.41.734, 1071m
2017年10月05日,9小时33分34秒, 40.47.617, 111.41.736, 1063m
2017年10月05日,9小时33分35秒, 40.47.617, 111.41.736, 1062m
2017年10月05日,9小时33分36秒, 40.47.618, 111.41.736, 1061m
2017年10月05日,9小时33分37秒, 40.47.618, 111.41.736, 1060m
2017年10月05日,9小时33分38秒, 40.47.619, 111.41.735, 1060m
2017年10月05日,9小时33分39秒, 40.47.620, 111.41.735, 1059m
2017年10月05日,9小时33分40秒, 40.47.620, 111.41.735, 1058m
2017年10月05日,9小时33分41秒, 40.47.621, 111.41.735, 1058m
2017年10月05日,9小时33分42秒, 40.47.621, 111.41.735, 1058m
2017年10月05日,9小时33分43秒, 40.47.621, 111.41.735, 1058m
2017年10月05日,9小时33分44秒, 40.47.621, 111.41.735, 1058m
2017年10月05日,9小时33分45秒, 40.47.621, 111.41.735, 1058m
2017年10月05日,9小时33分46秒, 40.47.621, 111.41.735, 1058m
2017年10月05日,9小时33分47秒, 40.47.621, 111.41.735, 1058m
2017年10月05日,9小时33分48秒, 40.47.621, 111.41.735, 1058m
2017年10月05日,9小时33分49秒, 40.47.621, 111.41.735, 1058m
